transaction_id,customer_id,transaction_date,amount,product_category
1,613,2019-06-29,68.73502702205568,Beauty
2,926,2021-12-30,18.697790520262707,Home
3,663,2021-06-19,41.328621697143596,Clothing
4,400,2020-10-05,31.42175297409194,Clothing
5,782,2019-05-19,89.00025404517253,Home
6,970,2021-02-25,26.927433784947457,Electronics
7,71,2019-04-12,23.644607305604346,Home
8,180,2020-04-12,81.1541894999823,Food
9,124,2019-10-10,51.75303268971319,Beauty
10,381,2021-11-18,27.098163049310163,Food
11,293,2019-01-18,23.41450890463798,Food
12,797,2021-01-25,27.0890672638788,Electronics
13,195,2020-11-17,123.29927459474527,Home
14,911,2020-08-23,82.89113682418288,Beauty
15,228,2021-11-09,25.657165127829213,Electronics
16,431,2020-03-08,26.698547924097696,Home
17,942,2021-11-07,17.333944656973912,Clothing
18,436,2020-01-11,36.84580360324821,Clothing
19,787,2021-10-07,61.74137272235343,Electronics
20,461,2020-12-16,22.67036713155026,Electronics
21,618,2021-10-20,486.5372957706611,Food
22,21,2021-01-06,101.87865365814936,Beauty
23,64,2019-08-09,52.86938600049741,Beauty
24,165,2021-11-15,59.44625487772383,Home
25,27,2021-12-23,13.579963338386865,Home
26,311,2019-09-11,16.460642715958308,Home
27,285,2021-01-05,204.97583915657577,Clothing
28,660,2021-04-05,280.0865967116684,Food
29,281,2019-01-30,5.957247646771675,Electronics
30,838,2021-02-25,87.39028860190581,Home
31,831,2019-01-10,217.37815848998704,Home
32,164,2020-03-05,38.79370145981889,Food
33,898,2020-11-28,249.4712132298641,Beauty
34,918,2019-05-04,117.60688381113371,Home
35,224,2019-02-20,85.70491708153277,Beauty
36,784,2020-02-02,42.748836100657435,Beauty
37,146,2019-11-10,59.86607132449311,Home
38,965,2020-10-09,34.90346133675038,Beauty
39,950,2020-05-28,73.43914933940633,Home
40,868,2020-05-16,70.30225912413663,Electronics
41,30,2020-06-13,35.3646367116222,Food
42,45,2020-11-27,7.790972066049366,Home
43,787,2021-01-03,44.92578489018597,Home
44,471,2021-05-09,19.729732136410885,Home
45,34,2020-02-23,17.798741132740812,Beauty
46,653,2019-07-13,27.38517633726076,Electronics
47,427,2019-11-08,124.82120806385126,Electronics
48,830,2021-09-22,17.972966448510217,Clothing
49,886,2020-12-22,22.479140355162606,Electronics
50,221,2020-04-20,110.69446058740658,Clothing
51,868,2020-08-06,25.389947039845296,Food
52,534,2019-04-27,17.68647097329976,Clothing
53,692,2019-09-21,122.58889368500621,Clothing
54,948,2019-01-21,47.9680171208896,Electronics
55,367,2020-04-21,58.28471774636297,Clothing
56,932,2020-07-02,43.646897762586185,Electronics
57,841,2021-08-05,83.37167393826299,Home
58,743,2021-10-17,108.36151101132302,Electronics
