transaction_id,customer_id,transaction_date,amount,product_category,year_month,day_of_week
46891,820,2019-01-01,88.99788513206578,Beauty,2019-01,1
30028,463,2019-01-01,81.17998019528166,Beauty,2019-01,1
31411,213,2019-01-01,25.18326718527622,Food,2019-01,1
15810,453,2019-01-01,75.9009269668118,Food,2019-01,1
30594,855,2019-01-01,57.86713621386264,Clothing,2019-01,1
24799,642,2019-01-01,32.94187342729606,Food,2019-01,1
9225,165,2019-01-01,132.6308669233464,Clothing,2019-01,1
21384,212,2019-01-01,33.75135777241645,Clothing,2019-01,1
38620,740,2019-01-01,68.00902999854264,Food,2019-01,1
24433,218,2019-01-01,22.45128104353272,Electronics,2019-01,1
10972,109,2019-01-01,8.21362801275644,Clothing,2019-01,1
7355,578,2019-01-01,13.275633243620778,Clothing,2019-01,1
36292,444,2019-01-01,125.21428420376743,Home,2019-01,1
17322,155,2019-01-01,25.78499549011732,Clothing,2019-01,1
18312,354,2019-01-01,8.214533365226918,Home,2019-01,1
19425,561,2019-01-01,17.359764379623165,Electronics,2019-01,1
7375,70,2019-01-01,25.692944287663696,Home,2019-01,1
238,871,2019-01-01,83.69244381218839,Home,2019-01,1
7500,583,2019-01-01,26.274026342800678,Electronics,2019-01,1
11757,42,2019-01-01,4.957143415662973,Home,2019-01,1
19321,987,2019-01-01,98.3809145010976,Electronics,2019-01,1
22606,540,2019-01-01,38.16829919393045,Electronics,2019-01,1
41510,343,2019-01-01,74.3468870526558,Electronics,2019-01,1
16026,319,2019-01-01,25.64738809493925,Food,2019-01,1
28941,514,2019-01-01,252.136748633772,Home,2019-01,1
26479,849,2019-01-01,81.15538330303522,Clothing,2019-01,1
8685,51,2019-01-01,172.135804277425,Beauty,2019-01,1
47067,926,2019-01-01,9.76159459236087,Home,2019-01,1
18434,179,2019-01-01,13.470502212871166,Clothing,2019-01,1
44531,173,2019-01-01,41.16680840265776,Beauty,2019-01,1
21654,264,2019-01-01,38.20047722544549,Beauty,2019-01,1
17988,550,2019-01-01,65.96847762474816,Home,2019-01,1
28814,52,2019-01-01,34.57767243497786,Electronics,2019-01,1
27284,257,2019-01-01,24.46642659297173,Electronics,2019-01,1
9605,846,2019-01-01,17.99687147944231,Beauty,2019-01,1
21075,657,2019-01-01,25.136509319090123,Beauty,2019-01,1
3605,767,2019-01-01,45.62139470753012,Home,2019-01,1
48011,468,2019-01-02,610.8808802434306,Food,2019-01,2
30101,362,2019-01-02,186.94976409510252,Beauty,2019-01,2
29878,802,2019-01-02,95.74586742346668,Food,2019-01,2
42132,1000,2019-01-02,70.26087523470311,Beauty,2019-01,2
26335,686,2019-01-02,40.87893364083362,Home,2019-01,2
22364,112,2019-01-02,283.5933804787298,Beauty,2019-01,2
42118,602,2019-01-02,194.6653420870908,Clothing,2019-01,2
32353,12,2019-01-02,7.733949929763308,Beauty,2019-01,2
29405,516,2019-01-02,76.36290045931266,Clothing,2019-01,2
35546,528,2019-01-02,43.386330029073925,Electronics,2019-01,2
45452,557,2019-01-02,180.45133640176047,Electronics,2019-01,2
41031,333,2019-01-02,44.67468924944627,Beauty,2019-01,2
4164,508,2019-01-02,134.2185003713803,Food,2019-01,2
25165,729,2019-01-02,47.69839029225721,Electronics,2019-01,2
47695,649,2019-01-02,10.844544719062272,Beauty,2019-01,2
29583,874,2019-01-02,58.16669783300815,Food,2019-01,2
